Parameter,patients_observed,patient_coverage_rate,valid_observations,missing_sentinel_rows,median_observations_per_observed_patient,p01,p25,median,p75,p99,min,max
BUN,11817,0.98475,41745,0,3.0,4.0,13.0,20.0,33.0,115.0,0.0,209.0
Creatinine,11817,0.98475,41928,0,3.0,0.3,0.7,1.0,1.5,8.5,0.1,22.1
HR,11816,0.9846666666666667,687134,0,55.0,51.0,75.0,86.0,99.0,138.0,0.0,300.0
Temp,11815,0.9845833333333334,259538,0,14.0,34.7,36.6,37.1,37.6,39.1,-17.8,42.2
GCS,11815,0.9845833333333334,185991,0,13.0,3.0,8.0,13.0,15.0,15.0,3.0,15.0
HCT,11810,0.9841666666666666,54971,0,4.0,20.0,27.4,30.2,33.6,44.3,5.0,61.8
Platelets,11802,0.9835,42650,0,3.0,29.0,117.0,172.0,238.0,557.0,5.0,2292.0
HCO3,11793,0.98275,40864,0,3.0,11.0,20.0,23.0,26.0,36.0,5.0,52.0
Na,11788,0.9823333333333333,40967,0,3.0,125.66000000000003,136.0,139.0,142.0,154.0,98.0,180.0
WBC,11787,0.98225,38908,0,3.0,1.7,8.3,11.5,15.5,38.3,0.0,12500.0
K,11751,0.97925,43759,0,3.0,2.9,3.7,4.1,4.4,6.2,1.5,22.9
Mg,11708,0.9756666666666667,40905,0,3.0,1.2,1.8,2.0,2.2,3.2,0.0,37.5
Glucose,11706,0.9755,39355,0,3.0,59.0,105.0,127.0,157.0,378.0,8.0,1591.0
Urine,11690,0.9741666666666666,411163,0,38.0,0.0,37.0,70.0,140.0,740.0,0.0,19990.0
Weight,11083,0.9235833333333333,385941,1001,41.0,43.5,67.0,80.0,95.0,163.0,0.0,472.0
NISysABP,10512,0.876,295063,0,26.0,74.0,102.0,117.0,134.0,182.0,0.0,300.0
NIDiasABP,10469,0.8724166666666666,294617,167,26.0,26.0,48.0,57.0,68.0,99.0,0.0,211.0
NIMAP,10464,0.872,290496,0,26.0,46.33,66.0,75.33,86.67,119.7,0.0,228.0
pH,9109,0.7590833333333333,72207,0,7.0,7.14,7.33,7.38,7.43,7.53,0.0,735.0
PaCO2,9055,0.7545833333333334,69048,0,7.0,23.0,35.0,39.0,45.0,74.0,0.0,100.0
PaO2,9054,0.7545,68880,0,7.0,52.0,90.0,122.0,176.0,447.0,0.0,500.0
SysABP,8427,0.70225,440215,0,53.0,70.0,102.0,116.0,134.0,185.0,0.0,295.0
DiasABP,8426,0.7021666666666667,440026,57,53.0,33.0,51.0,58.0,67.0,96.0,0.0,283.0
MAP,8408,0.7006666666666667,440893,0,52.0,50.0,69.0,77.0,88.0,127.0,0.0,300.0
FiO2,8116,0.6763333333333333,95163,0,13.0,0.3,0.4,0.5,0.6,1.0,0.21,1.0
MechVent,7581,0.63175,91644,0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lactate,6576,0.548,24358,0,2.0,0.7,1.4,2.1,3.6,13.5,0.0,31.0
SaO2,5368,0.44733333333333336,23983,0,3.0,85.0,96.0,97.0,98.0,100.0,0.0,100.0
Bilirubin,5214,0.4345,9807,0,1.0,0.2,0.5,0.9,2.4,30.99400000000005,0.0,82.8
AST,5214,0.4345,9712,0,1.0,11.0,30.0,62.0,208.25,8204.449999999997,4.0,36400.0
ALT,5213,0.4344166666666667,9710,0,1.0,6.0,20.25,42.0,147.0,6214.82,1.0,16920.0
ALP,5097,0.42475,9441,0,1.0,29.0,59.0,82.0,124.0,705.4000000000015,8.0,4695.0
Albumin,4871,0.40591666666666665,7249,0,1.0,1.4,2.4,2.9,3.4,4.3,1.0,5.3
RespRate,3328,0.2773333333333333,165435,0,49.0,9.0,16.0,19.0,23.0,36.0,0.0,100.0
TroponinT,2637,0.21975,6254,0,2.0,0.01,0.06,0.18,0.89,14.38760000000002,0.01,29.91
Cholesterol,948,0.079,995,0,1.0,68.0,124.0,153.0,182.5,297.0,28.0,362.0
TroponinI,565,0.04708333333333333,1175,0,2.0,0.3,0.9,3.3,11.05,46.129999999999995,0.1,49.6
