Parameter,survivor_patients,death_patients,survivor_patient_mean_median,death_patient_mean_median,standardized_mean_difference_death_minus_survivor,survivor_coverage_rate,death_coverage_rate,coverage_rate_difference_death_minus_survivor
ALP,4110,987,75.58333333333334,89.0,0.28153199213987107,0.3993004954823667,0.5782073813708261,0.17890688588845938
ALT,4201,1012,30.0,35.0,0.13883019655268647,0.4081414553580103,0.5928529584065613,0.184711503048551
AST,4203,1011,43.0,58.333333333333336,0.21822823990332657,0.408335762168464,0.5922671353251318,0.18393137315666774
Albumin,3926,945,3.0,2.7250000000000005,-0.38156816345135053,0.38142426892062564,0.5536028119507909,0.17217854303016522
BUN,10116,1701,17.75,28.0,0.6186417421375197,0.9828038472748469,0.9964850615114236,0.013681214236576644
Bilirubin,4193,1021,0.7,0.9,0.4898407528508933,0.4073642281161955,0.5981253661394259,0.19076113802323041
Cholesterol,826,122,154.0,143.0,-0.25446263227798743,0.08024871271738074,0.07147041593438781,-0.008778296782992925
Creatinine,10116,1701,0.9,1.2,0.2781513158198006,0.9828038472748469,0.9964850615114236,0.013681214236576644
DiasABP,7139,1287,58.95,57.872727272727275,-0.1458308804272384,0.693578159914505,0.7539543057996485,0.060376145885143506
FiO2,6746,1370,0.525,0.5333333333333333,0.18519828983708053,0.6553968716603517,0.8025776215582894,0.14718074989793772
GCS,10135,1680,12.909090909090908,9.125,-0.8523694919193822,0.9846497619741572,0.984182776801406,-0.0004669851727512331
Glucose,10011,1695,128.0,139.33333333333334,0.263808254957779,0.9726027397260274,0.9929701230228472,0.020367383296819752
HCO3,10093,1700,24.0,22.0,-0.41667089961601816,0.9805693189546294,0.9958992384299942,0.015329919475364773
HCT,10110,1700,30.65,30.7,0.02170684321509623,0.9822209268434858,0.9958992384299942,0.01367831158650834
HR,10136,1680,85.80772946859904,89.22856791943012,0.22511374880266322,0.9847469153793841,0.984182776801406,-0.0005641385779781016
K,10055,1696,4.066666666666666,4.066666666666666,0.03645492389025839,0.976877489556009,0.9935559461042766,0.016678456548267606
Lactate,5361,1215,1.8375,2.22,0.52891624213691,0.52083940542116,0.7117750439367311,0.19093563851557105
MAP,7126,1282,78.97904323019532,78.23606889564337,-0.06630283697077301,0.6923151656465559,0.7510251903925015,0.058710024745945555
MechVent,6326,1255,1.0,1.0,,0.6145924414650733,0.7352079671939075,0.12061552572883416
Mg,10015,1693,1.9666666666666668,2.0,0.12930049133525479,0.9729913533469348,0.9917984768599882,0.01880712351305347
NIDiasABP,8954,1515,56.81818181818182,54.583333333333336,-0.18937676638773152,0.8699115904012436,0.8875219683655536,0.017610377964310087
NIMAP,8948,1516,75.33,72.8253947368421,-0.1891306832789829,0.8693286699698825,0.888107791446983,0.01877912147710059
NISysABP,8992,1520,115.81980519480518,112.44093023255815,-0.13319608466992522,0.873603419799864,0.8904510837727007,0.016847663972836657
Na,10090,1698,139.0,139.5,0.15275662817869462,0.9802778587389488,0.9947275922671354,0.01444973352818657
PaCO2,7577,1478,40.0,37.763888888888886,-0.2022643965115683,0.7361313514038667,0.8658465143526655,0.1297151629487988
PaO2,7576,1478,141.8090909090909,123.75,-0.28412216537195756,0.7360341979986399,0.8658465143526655,0.12981231635402557
Platelets,10102,1700,187.5,182.06666666666666,-0.06475012865242996,0.981443699601671,0.9958992384299942,0.014455538828323178
RespRate,3072,256,18.91485507246377,20.87047955974843,0.41932637206298645,0.29845526085689306,0.14997070884592853,-0.14848455201096453
SaO2,4552,816,97.33333333333333,97.0,-0.2653212766117863,0.44224230059263575,0.4780316344463972,0.03578933385376143
SysABP,7140,1287,117.31576209467661,115.33333333333333,-0.13505050778218874,0.6936753133197319,0.7539543057996485,0.06027899247991664
Temp,10135,1680,36.9875,36.85454545454546,-0.1623030594061691,0.9846497619741572,0.984182776801406,-0.0004669851727512331
TroponinI,422,143,2.2466666666666666,2.8666666666666667,-0.018217376433404313,0.040998737005732054,0.0837727006444054,0.04277396363867334
TroponinT,2055,582,0.13,0.13416666666666666,-0.07031493268241618,0.19965024774118334,0.3409490333919156,0.14129878565073228
Urine,10040,1650,117.96725571725571,74.98780487804878,-0.44544212616726453,0.9754201884776061,0.9666080843585237,-0.008812104119082398
WBC,10087,1700,11.45,12.5,0.09337801486629399,0.9799863985232682,0.9958992384299942,0.015912839906725984
Weight,9460,1623,80.4,75.0,-0.21274518433197334,0.9190712134460313,0.9507908611599297,0.03171964771389846
pH,7627,1482,7.388461538461538,7.383333333333333,0.01601237833888296,0.7409890216652094,0.8681898066783831,0.12720078501317367
