model,horizon_hours,calibration_bin,n,mean_predicted_probability,observed_event_rate
hist_gradient_boosting,6,1,180,0.014876069720453737,0.005555555555555556
hist_gradient_boosting,6,2,180,0.02689174662442004,0.011111111111111112
hist_gradient_boosting,6,3,180,0.03975253053095107,0.016666666666666666
hist_gradient_boosting,6,4,180,0.05679207577310645,0.03888888888888889
hist_gradient_boosting,6,5,180,0.07844931805684621,0.08333333333333333
hist_gradient_boosting,6,6,180,0.10669791832784559,0.14444444444444443
hist_gradient_boosting,6,7,180,0.14426959361244435,0.15
hist_gradient_boosting,6,8,180,0.19281159217469235,0.22777777777777777
hist_gradient_boosting,6,9,180,0.27286495588934573,0.32222222222222224
hist_gradient_boosting,6,10,180,0.4430736197292402,0.4222222222222222
hist_gradient_boosting,12,1,180,0.01894512389541699,0.0
hist_gradient_boosting,12,2,180,0.028844491309009547,0.016666666666666666
hist_gradient_boosting,12,3,180,0.039432930362922954,0.005555555555555556
hist_gradient_boosting,12,4,180,0.05344151121420487,0.03333333333333333
hist_gradient_boosting,12,5,180,0.07278561909295975,0.07222222222222222
hist_gradient_boosting,12,6,180,0.10039907915468371,0.1388888888888889
hist_gradient_boosting,12,7,180,0.13562026006022299,0.1111111111111111
hist_gradient_boosting,12,8,180,0.19393227051166323,0.22777777777777777
hist_gradient_boosting,12,9,180,0.2834822756797789,0.35
hist_gradient_boosting,12,10,180,0.479831971754369,0.4666666666666667
hist_gradient_boosting,24,1,180,0.0134878165443356,0.0
hist_gradient_boosting,24,2,180,0.021248381964304987,0.011111111111111112
hist_gradient_boosting,24,3,180,0.030008837683615407,0.016666666666666666
hist_gradient_boosting,24,4,180,0.04295617542645831,0.011111111111111112
hist_gradient_boosting,24,5,180,0.061500555776313574,0.06111111111111111
hist_gradient_boosting,24,6,180,0.08591706956500839,0.1111111111111111
hist_gradient_boosting,24,7,180,0.12064630914074055,0.12777777777777777
hist_gradient_boosting,24,8,180,0.1818557627793434,0.21666666666666667
hist_gradient_boosting,24,9,180,0.2968910235962465,0.3055555555555556
hist_gradient_boosting,24,10,180,0.5357220562297225,0.5611111111111111
hist_gradient_boosting,48,1,180,0.009650258053229941,0.0
hist_gradient_boosting,48,2,180,0.014255649410400677,0.005555555555555556
hist_gradient_boosting,48,3,180,0.019901331426247077,0.005555555555555556
hist_gradient_boosting,48,4,180,0.029129682185748153,0.022222222222222223
hist_gradient_boosting,48,5,180,0.0425788930845222,0.03888888888888889
hist_gradient_boosting,48,6,180,0.06788225383374821,0.06666666666666667
hist_gradient_boosting,48,7,180,0.10611857893326009,0.16666666666666666
hist_gradient_boosting,48,8,180,0.17588902263073122,0.17222222222222222
hist_gradient_boosting,48,9,180,0.30298286680477293,0.3111111111111111
hist_gradient_boosting,48,10,180,0.5927341668656008,0.6333333333333333
logistic,6,1,180,0.0053946263939883025,0.005555555555555556
logistic,6,2,180,0.016303059739658628,0.022222222222222223
logistic,6,3,180,0.02923067107162623,0.05555555555555555
logistic,6,4,180,0.047319294886992824,0.06111111111111111
logistic,6,5,180,0.07091265009609488,0.07222222222222222
logistic,6,6,180,0.09972343640213123,0.11666666666666667
logistic,6,7,180,0.14183115170655533,0.23333333333333334
logistic,6,8,180,0.20073669766996166,0.19444444444444445
logistic,6,9,180,0.2818893053748329,0.26666666666666666
logistic,6,10,180,0.5202068756922383,0.39444444444444443
logistic,12,1,180,0.003404564875821418,0.0
logistic,12,2,180,0.01174116140857199,0.011111111111111112
logistic,12,3,180,0.023057208803835452,0.03333333333333333
logistic,12,4,180,0.03860243929952996,0.03888888888888889
logistic,12,5,180,0.06073497202804997,0.1111111111111111
logistic,12,6,180,0.08842325062030924,0.07777777777777778
logistic,12,7,180,0.126296551187352,0.19444444444444445
logistic,12,8,180,0.19131013321812873,0.25
logistic,12,9,180,0.30308791155038245,0.28888888888888886
logistic,12,10,180,0.5589915955922278,0.4166666666666667
logistic,24,1,180,0.003188359783828796,0.0
logistic,24,2,180,0.00976325082282954,0.027777777777777776
logistic,24,3,180,0.01852167838125368,0.022222222222222223
logistic,24,4,180,0.03063586577245306,0.022222222222222223
logistic,24,5,180,0.04747400785116454,0.05
logistic,24,6,180,0.07338049185988618,0.09444444444444444
logistic,24,7,180,0.11500527079581069,0.12777777777777777
logistic,24,8,180,0.1860429196875872,0.25555555555555554
logistic,24,9,180,0.3197864471577392,0.37222222222222223
logistic,24,10,180,0.6213365194008873,0.45
logistic,48,1,180,0.0020201777341729713,0.005555555555555556
logistic,48,2,180,0.005624211410223976,0.011111111111111112
logistic,48,3,180,0.010633636926642792,0.011111111111111112
logistic,48,4,180,0.019010653942780256,0.027777777777777776
logistic,48,5,180,0.03178650149310098,0.044444444444444446
logistic,48,6,180,0.05556043684667571,0.05555555555555555
logistic,48,7,180,0.09645825589144681,0.17222222222222222
logistic,48,8,180,0.1742438682444803,0.17777777777777778
logistic,48,9,180,0.3246012757682099,0.3388888888888889
logistic,48,10,180,0.6758246461782865,0.5777777777777777
