model,preprocess,feature_group,feature_count,horizon_hours,split,threshold,n,prevalence,auroc,auprc,brier,log_loss,sensitivity,specificity,precision,f1
logistic,clean_winsor_median_indicator,static_only,8,6,validation,0.17616051536452546,1800,0.14222222222222222,0.7034602189928757,0.2566832034410611,0.11446095156664238,0.379368344490803,0.57421875,0.7389896373056994,0.2672727272727273,0.36476426799007444
logistic,clean_winsor_median_indicator,static_only,8,6,test,0.17616051536452546,1800,0.14222222222222222,0.7107186589216321,0.2622682164902075,0.11396346374439552,0.375892428039977,0.55078125,0.7422279792746114,0.26159554730983303,0.35471698113207545
logistic,clean_winsor_median_indicator,static_only,8,12,validation,0.17616051536452546,1800,0.14222222222222222,0.7034602189928757,0.2566832034410611,0.11446095156664238,0.379368344490803,0.57421875,0.7389896373056994,0.2672727272727273,0.36476426799007444
logistic,clean_winsor_median_indicator,static_only,8,12,test,0.17616051536452546,1800,0.14222222222222222,0.7107186589216321,0.2622682164902075,0.11396346374439552,0.375892428039977,0.55078125,0.7422279792746114,0.26159554730983303,0.35471698113207545
logistic,clean_winsor_median_indicator,static_only,8,24,validation,0.17616051536452546,1800,0.14222222222222222,0.7034602189928757,0.2566832034410611,0.11446095156664238,0.379368344490803,0.57421875,0.7389896373056994,0.2672727272727273,0.36476426799007444
logistic,clean_winsor_median_indicator,static_only,8,24,test,0.17616051536452546,1800,0.14222222222222222,0.7107186589216321,0.2622682164902075,0.11396346374439552,0.375892428039977,0.55078125,0.7422279792746114,0.26159554730983303,0.35471698113207545
logistic,clean_winsor_median_indicator,static_only,8,48,validation,0.17616051536452546,1800,0.14222222222222222,0.7034602189928757,0.2566832034410611,0.11446095156664238,0.379368344490803,0.57421875,0.7389896373056994,0.2672727272727273,0.36476426799007444
logistic,clean_winsor_median_indicator,static_only,8,48,test,0.17616051536452546,1800,0.14222222222222222,0.7107186589216321,0.2622682164902075,0.11396346374439552,0.375892428039977,0.55078125,0.7422279792746114,0.26159554730983303,0.35471698113207545
logistic,clean_winsor_median_indicator,clinical_values_no_indicator,267,6,validation,0.16192473669426805,1800,0.14222222222222222,0.7567397992227979,0.32477481962822696,0.11164799260996817,0.36565440758512713,0.66015625,0.7454663212435233,0.30071174377224197,0.4132029339853301
logistic,clean_winsor_median_indicator,clinical_values_no_indicator,267,6,test,0.16192473669426805,1800,0.14222222222222222,0.7487451424870467,0.3517608640682364,0.10940871817869914,0.3603493477597698,0.609375,0.75,0.2878228782287823,0.39097744360902253
logistic,clean_winsor_median_indicator,clinical_values_no_indicator,267,12,validation,0.1323152792647902,1800,0.14222222222222222,0.8002701991580311,0.3968095932432681,0.10395836008996623,0.33510757514731176,0.78515625,0.6936528497409327,0.29821958456973297,0.432258064516129
logistic,clean_winsor_median_indicator,clinical_values_no_indicator,267,12,test,0.1323152792647902,1800,0.14222222222222222,0.782345470369171,0.35948371003029744,0.10808259888388552,0.34792952802793176,0.73046875,0.6968911917098446,0.28549618320610687,0.4105378704720088
logistic,clean_winsor_median_indicator,clinical_values_no_indicator,267,24,validation,0.1312703731840639,1800,0.14222222222222222,0.8362891636981864,0.475547722388676,0.09575215785576893,0.31216647692355953,0.8125,0.7351036269430051,0.3371150729335494,0.4765177548682703
logistic,clean_winsor_median_indicator,clinical_values_no_indicator,267,24,test,0.1312703731840639,1800,0.14222222222222222,0.8245122247409327,0.43477161856823043,0.10051586218159429,0.3229291233091441,0.76171875,0.7253886010362695,0.3150242326332795,0.44571428571428573
logistic,clean_winsor_median_indicator,clinical_values_no_indicator,267,48,validation,0.16905739650227047,1800,0.14222222222222222,0.8683816386010363,0.5507084193931834,0.08820963343748651,0.2872209356441087,0.78515625,0.814119170984456,0.41188524590163933,0.5403225806451613
logistic,clean_winsor_median_indicator,clinical_values_no_indicator,267,48,test,0.16905739650227047,1800,0.14222222222222222,0.8573965754533679,0.5555396926211974,0.08889485030307476,0.292344762406824,0.69921875,0.8186528497409327,0.3899782135076253,0.5006993006993007
logistic,clean_winsor_median_indicator,clinical_values_plus_indicator,267,6,validation,0.10884384533858406,1800,0.14222222222222222,0.7664447053108808,0.3292014366739911,0.11169017608681785,0.3660503297469496,0.81640625,0.6133419689119171,0.25930521091811415,0.3935969868173258
logistic,clean_winsor_median_indicator,clinical_values_plus_indicator,267,6,test,0.10884384533858406,1800,0.14222222222222222,0.7765341645077719,0.367331859232756,0.10747023341002286,0.35005593391237777,0.81640625,0.6178756476683938,0.2615769712140175,0.3962085308056872
logistic,clean_winsor_median_indicator,clinical_values_plus_indicator,267,12,validation,0.15036178649480839,1800,0.14222222222222222,0.8019551489637307,0.38812661666055837,0.10511170047999349,0.33878984043169236,0.7578125,0.7318652849740933,0.3190789473684211,0.44907407407407407
logistic,clean_winsor_median_indicator,clinical_values_plus_indicator,267,12,test,0.15036178649480839,1800,0.14222222222222222,0.7969508986398964,0.37476551164148453,0.10693152387861324,0.3415379148559921,0.68359375,0.7448186528497409,0.30755711775043937,0.42424242424242425
logistic,clean_winsor_median_indicator,clinical_values_plus_indicator,267,24,validation,0.10045589139296623,1800,0.14222222222222222,0.8331115406411916,0.4760769420100537,0.0959044398841594,0.3147968096651317,0.8671875,0.6573834196891192,0.2956058588548602,0.44091360476663355
logistic,clean_winsor_median_indicator,clinical_values_plus_indicator,267,24,test,0.10045589139296623,1800,0.14222222222222222,0.8322412362370467,0.42945947419299,0.10163549901685583,0.32385307422605414,0.859375,0.6722797927461139,0.30303030303030304,0.4480651731160896
logistic,clean_winsor_median_indicator,clinical_values_plus_indicator,267,48,validation,0.1378153788250102,1800,0.14222222222222222,0.8674101360103627,0.5508273590919179,0.08812209722861446,0.28818885870406735,0.81640625,0.7648963730569949,0.36538461538461536,0.5048309178743962
logistic,clean_winsor_median_indicator,clinical_values_plus_indicator,267,48,test,0.1378153788250102,1800,0.14222222222222222,0.8623350469559585,0.5581185861603644,0.08874315855110475,0.29087928268492697,0.76171875,0.7882124352331606,0.3735632183908046,0.5012853470437018
logistic,clean_winsor_median_indicator,measurement_process_only,82,6,validation,0.16007125681302187,1800,0.14222222222222222,0.7465744413860104,0.2983778312872959,0.11141358535328076,0.3639128961256298,0.69140625,0.6904145077720207,0.27022900763358776,0.3885839736553238
logistic,clean_winsor_median_indicator,measurement_process_only,82,6,test,0.16007125681302187,1800,0.14222222222222222,0.7362066871761657,0.3011540983045253,0.11174380045264416,0.3664215067562059,0.609375,0.7221502590673575,0.26666666666666666,0.37098692033293695
logistic,clean_winsor_median_indicator,measurement_process_only,82,12,validation,0.1388446927143883,1800,0.14222222222222222,0.7469589944948187,0.30526941132421875,0.11135625850610163,0.36450862961901115,0.76171875,0.6398963730569949,0.2596537949400799,0.3872889771598808
logistic,clean_winsor_median_indicator,measurement_process_only,82,12,test,0.1388446927143883,1800,0.14222222222222222,0.7585310071243523,0.3039343126467781,0.11051656582106201,0.35894229052250365,0.74609375,0.6664507772020726,0.2705382436260623,0.3970893970893971
logistic,clean_winsor_median_indicator,measurement_process_only,82,24,validation,0.1646629129451836,1800,0.14222222222222222,0.7599705513277202,0.3105898714573033,0.1110716563943266,0.359511371288156,0.71484375,0.7040155440414507,0.2859375,0.40848214285714285
logistic,clean_winsor_median_indicator,measurement_process_only,82,24,test,0.1646629129451836,1800,0.14222222222222222,0.7789654509391193,0.3540683827858453,0.10640886300028282,0.34677539659588513,0.68359375,0.7525906735751295,0.3141831238779174,0.43050430504305043
logistic,clean_winsor_median_indicator,measurement_process_only,82,48,validation,0.10618219460808709,1800,0.14222222222222222,0.7822948712759068,0.34491566636924215,0.10797869665503274,0.3466809542228764,0.84375,0.6003886010362695,0.25930372148859543,0.39669421487603307
logistic,clean_winsor_median_indicator,measurement_process_only,82,48,test,0.10618219460808709,1800,0.14222222222222222,0.8107543312823835,0.39339483934391195,0.10223748614549918,0.3287680250704179,0.84765625,0.6230569948186528,0.2715894868585732,0.41137440758293836
logistic,clean_winsor_median_indicator,full_selected,341,6,validation,0.13060912591739077,1800,0.14222222222222222,0.7670012953367875,0.32094600739568696,0.11290223598842655,0.36818099923294545,0.76953125,0.677461139896373,0.28345323741007195,0.41430073606729756
logistic,clean_winsor_median_indicator,full_selected,341,6,test,0.13060912591739077,1800,0.14222222222222222,0.7702269875323834,0.35222503706462044,0.10997472737466195,0.3566750847660063,0.73046875,0.6923575129533679,0.2824773413897281,0.4074074074074074
logistic,clean_winsor_median_indicator,full_selected,341,12,validation,0.11490033650777569,1800,0.14222222222222222,0.800482715349741,0.38558531881787184,0.10562935196696031,0.34149134845003415,0.80859375,0.6683937823834197,0.28789986091794156,0.4246153846153846
logistic,clean_winsor_median_indicator,full_selected,341,12,test,0.11490033650777569,1800,0.14222222222222222,0.7988660743199482,0.3788801531923046,0.10709102393214606,0.3419327963339059,0.77734375,0.6936528497409327,0.2961309523809524,0.42887931034482757
logistic,clean_winsor_median_indicator,full_selected,341,24,validation,0.13061872499249064,1800,0.14222222222222222,0.8298605488989638,0.4513012946343022,0.0985413636391316,0.32088340956617395,0.80859375,0.7221502590673575,0.32547169811320753,0.4641255605381166
logistic,clean_winsor_median_indicator,full_selected,341,24,test,0.13061872499249064,1800,0.14222222222222222,0.8323095450129534,0.4304519285974225,0.10198391002923925,0.3257735980655815,0.78125,0.7610103626943006,0.351493848857645,0.48484848484848486
logistic,clean_winsor_median_indicator,full_selected,341,48,validation,0.11113725370694767,1800,0.14222222222222222,0.8663096057318653,0.5405412132594977,0.08908309558421852,0.2916260518646066,0.859375,0.7305699481865285,0.34591194968553457,0.49327354260089684
logistic,clean_winsor_median_indicator,full_selected,341,48,test,0.11113725370694767,1800,0.14222222222222222,0.8616949684261657,0.5501125369732224,0.09009719790507403,0.2945884750077595,0.79296875,0.758419689119171,0.3524305555555556,0.4879807692307692
hist_gradient_boosting,raw_median,static_only,8,6,validation,0.1590110637133209,1800,0.14222222222222222,0.6918995911593264,0.25480878949783914,0.11514784545317105,0.3806672850664894,0.6640625,0.6560880829015544,0.24251069900142652,0.3552769070010449
hist_gradient_boosting,raw_median,static_only,8,6,test,0.1590110637133209,1800,0.14222222222222222,0.700272476117228,0.2536383162074199,0.11493988948548474,0.3782164710960039,0.6484375,0.6489637305699482,0.2344632768361582,0.34439834024896265
hist_gradient_boosting,raw_median,static_only,8,12,validation,0.1590110637133209,1800,0.14222222222222222,0.6918995911593264,0.25480878949783914,0.11514784545317105,0.3806672850664894,0.6640625,0.6560880829015544,0.24251069900142652,0.3552769070010449
hist_gradient_boosting,raw_median,static_only,8,12,test,0.1590110637133209,1800,0.14222222222222222,0.700272476117228,0.2536383162074199,0.11493988948548474,0.3782164710960039,0.6484375,0.6489637305699482,0.2344632768361582,0.34439834024896265
hist_gradient_boosting,raw_median,static_only,8,24,validation,0.1590110637133209,1800,0.14222222222222222,0.6918995911593264,0.25480878949783914,0.11514784545317105,0.3806672850664894,0.6640625,0.6560880829015544,0.24251069900142652,0.3552769070010449
