model,horizon_hours,split,training_target,n,mae_days,rmse_days,median_ae_days,r2,spearman
training_median,,validation,Length_of_stay_days,1774,7.395152198421646,12.848764740438268,4.0,-0.08474474547291866,
training_median,,test,Length_of_stay_days,1775,7.579154929577465,14.3731949264722,4.0,-0.07577458412870053,
ridge_log_target,6.0,validation,log1p_Length_of_stay,1774,6.960140785537913,12.057448520703478,4.170555855401588,0.044753108249616536,0.36250652625087293
ridge_log_target,6.0,test,log1p_Length_of_stay,1775,7.167795998178741,13.615822762502727,4.133138976893482,0.034610818121084574,0.3627115090714726
hist_gradient_boosting_log_target,6.0,validation,log1p_Length_of_stay,1774,6.925182043866917,12.145236548247123,4.173613122207267,0.030792522471940753,0.3844914372606626
hist_gradient_boosting_log_target,6.0,test,log1p_Length_of_stay,1775,7.034977881178552,13.472558072685311,4.070065353123317,0.05481944749852774,0.4069694491559108
ridge_log_target,12.0,validation,log1p_Length_of_stay,1774,6.934616199733368,12.078953946130566,3.9989422396723295,0.041342550734958294,0.38098056914761463
ridge_log_target,12.0,test,log1p_Length_of_stay,1775,7.114791264006803,13.597696651712786,3.9657000220651835,0.037179462548208364,0.37731720081072406
hist_gradient_boosting_log_target,12.0,validation,log1p_Length_of_stay,1774,6.860385849464219,12.02620079958141,4.07065334258554,0.04969787084438937,0.40907677020905714
hist_gradient_boosting_log_target,12.0,test,log1p_Length_of_stay,1775,7.042256409259137,13.502578534577165,4.12668476375393,0.050602524494490875,0.40962435743197106
ridge_log_target,24.0,validation,log1p_Length_of_stay,1774,6.8266307169805645,11.878865845212394,4.087814255864341,0.07283985288431682,0.4048315021560921
ridge_log_target,24.0,test,log1p_Length_of_stay,1775,7.0633839232342925,13.42110249424231,4.027971136636598,0.062025493540384335,0.40277347944602065
hist_gradient_boosting_log_target,24.0,validation,log1p_Length_of_stay,1774,6.843885257183828,11.976848888485694,4.042767870334375,0.05748137567898637,0.4128642880461146
hist_gradient_boosting_log_target,24.0,test,log1p_Length_of_stay,1775,6.965327546889875,13.406733664341582,4.069356356613859,0.0640328370479547,0.4358213420039834
ridge_log_target,48.0,validation,log1p_Length_of_stay,1774,6.675488567753661,11.769403754666373,3.9756110459174114,0.08984842698943296,0.4694420011120511
ridge_log_target,48.0,test,log1p_Length_of_stay,1775,6.891211314435083,13.330265389867126,3.7950402832280794,0.07467937973525574,0.45602537275220595
hist_gradient_boosting_log_target,48.0,validation,log1p_Length_of_stay,1774,6.624269744924915,11.733369461482793,3.9269618582949457,0.09541310344231058,0.5003674201597677
hist_gradient_boosting_log_target,48.0,test,log1p_Length_of_stay,1775,6.726992910403654,13.202188074126967,3.733799404668577,0.09237493834466637,0.508944835622303
