horizon_hours,parameter,patients_observed,coverage_rate
6,Albumin,2310,0.1925
6,ALP,2720,0.22666666666666666
6,ALT,2783,0.23191666666666666
6,AST,2781,0.23175
6,Bilirubin,2733,0.22775
6,BUN,7895,0.6579166666666667
6,Cholesterol,360,0.03
6,Creatinine,7899,0.65825
6,DiasABP,6786,0.5655
6,FiO2,6414,0.5345
6,GCS,11077,0.9230833333333334
6,Glucose,6746,0.5621666666666667
6,HCO3,7682,0.6401666666666667
6,HCT,8386,0.6988333333333333
6,HR,11522,0.9601666666666666
6,K,6963,0.58025
6,Lactate,4260,0.355
6,MAP,6722,0.5601666666666667
6,MechVent,6297,0.52475
6,Mg,6662,0.5551666666666667
6,Na,6818,0.5681666666666667
6,NIDiasABP,8159,0.6799166666666666
6,NIMAP,8148,0.679
6,NISysABP,8171,0.6809166666666666
6,PaCO2,6963,0.58025
6,PaO2,6933,0.57775
6,pH,7001,0.5834166666666667
6,Platelets,8090,0.6741666666666667
6,RespRate,3249,0.27075
6,SaO2,2519,0.20991666666666667
6,SysABP,6786,0.5655
6,Temp,11345,0.9454166666666667
6,TroponinI,274,0.022833333333333334
6,TroponinT,1581,0.13175
6,Urine,10904,0.9086666666666666
6,WBC,7295,0.6079166666666667
6,Weight,11083,0.9235833333333333
12,Albumin,3146,0.26216666666666666
12,ALP,3630,0.3025
12,ALT,3706,0.30883333333333335
12,AST,3705,0.30875
12,Bilirubin,3659,0.30491666666666667
12,BUN,10157,0.8464166666666667
12,Cholesterol,616,0.051333333333333335
12,Creatinine,10175,0.8479166666666667
12,DiasABP,7536,0.628
12,FiO2,7009,0.5840833333333333
12,GCS,11666,0.9721666666666666
12,Glucose,8981,0.7484166666666666
12,HCO3,9952,0.8293333333333334
12,HCT,10500,0.875
12,HR,11765,0.9804166666666667
12,K,9325,0.7770833333333333
12,Lactate,5164,0.43033333333333335
12,MAP,7510,0.6258333333333334
12,MechVent,6756,0.563
12,Mg,9319,0.7765833333333333
12,Na,9059,0.7549166666666667
12,NIDiasABP,8625,0.71875
12,NIMAP,8618,0.7181666666666666
12,NISysABP,8651,0.7209166666666667
12,PaCO2,7853,0.6544166666666666
12,PaO2,7844,0.6536666666666666
12,pH,7897,0.6580833333333334
12,Platelets,10216,0.8513333333333334
12,RespRate,3294,0.2745
12,SaO2,3668,0.30566666666666664
12,SysABP,7536,0.628
12,Temp,11750,0.9791666666666666
12,TroponinI,410,0.034166666666666665
12,TroponinT,2170,0.18083333333333335
12,Urine,11547,0.96225
12,WBC,9498,0.7915
12,Weight,11083,0.9235833333333333
24,Albumin,3939,0.32825
24,ALP,4461,0.37175
24,ALT,4566,0.3805
24,AST,4565,0.3804166666666667
24,Bilirubin,4517,0.3764166666666667
24,BUN,11713,0.9760833333333333
24,Cholesterol,838,0.06983333333333333
24,Creatinine,11714,0.9761666666666666
24,DiasABP,7989,0.66575
24,FiO2,7559,0.6299166666666667
24,GCS,11789,0.9824166666666667
24,Glucose,11248,0.9373333333333334
24,HCO3,11636,0.9696666666666667
24,HCT,11684,0.9736666666666667
24,HR,11801,0.9834166666666667
24,K,11396,0.9496666666666667
24,Lactate,5915,0.49291666666666667
24,MAP,7970,0.6641666666666667
24,MechVent,7174,0.5978333333333333
24,Mg,11150,0.9291666666666667
24,Na,11572,0.9643333333333334
24,NIDiasABP,9383,0.7819166666666667
24,NIMAP,9375,0.78125
24,NISysABP,9418,0.7848333333333334
24,PaCO2,8518,0.7098333333333333
24,PaO2,8511,0.70925
24,pH,8568,0.714
24,Platelets,11622,0.9685
24,RespRate,3318,0.2765
24,SaO2,4551,0.37925
24,SysABP,7989,0.66575
24,Temp,11796,0.983
24,TroponinI,503,0.041916666666666665
24,TroponinT,2475,0.20625
24,Urine,11649,0.97075
24,WBC,11580,0.965
24,Weight,11083,0.9235833333333333
48,Albumin,4870,0.4058333333333333
48,ALP,5097,0.42475
48,ALT,5213,0.4344166666666667
48,AST,5214,0.4345
48,Bilirubin,5214,0.4345
48,BUN,11817,0.98475
48,Cholesterol,948,0.079
48,Creatinine,11817,0.98475
48,DiasABP,8426,0.7021666666666667
48,FiO2,8116,0.6763333333333333
48,GCS,11815,0.9845833333333334
48,Glucose,11706,0.9755
48,HCO3,11793,0.98275
48,HCT,11810,0.9841666666666666
48,HR,11816,0.9846666666666667
48,K,11751,0.97925
48,Lactate,6576,0.548
48,MAP,8408,0.7006666666666667
48,MechVent,7581,0.63175
48,Mg,11708,0.9756666666666667
48,Na,11788,0.9823333333333333
48,NIDiasABP,10469,0.8724166666666666
48,NIMAP,10464,0.872
48,NISysABP,10512,0.876
48,PaCO2,9055,0.7545833333333334
48,PaO2,9054,0.7545
48,pH,9109,0.7590833333333333
48,Platelets,11802,0.9835
48,RespRate,3328,0.2773333333333333
48,SaO2,5367,0.44725
48,SysABP,8427,0.70225
48,Temp,11815,0.9845833333333334
48,TroponinI,565,0.04708333333333333
48,TroponinT,2637,0.21975
48,Urine,11690,0.9741666666666666
48,WBC,11787,0.98225
48,Weight,11083,0.9235833333333333
