feature,missing_rate,winsor_lower_1pct,winsor_upper_99pct
Age,0.0,20.989999999999995,90.0
Gender,0.001,0.0,1.0
InitialWeight,0.08341666666666667,42.608998680114745,163.39099472045896
GCS_min,0.017583333333333333,3.0,15.0
HR_mean,0.016583333333333332,54.27647830963135,127.36053993225104
Temp_mean,0.017,34.863504295349124,38.50915008544922
BUN_mean,0.023916666666666666,4.666666507720947,108.75499999999988
Creatinine_mean,0.023833333333333335,0.3499999940395355,8.149999618530273
HCO3_min,0.030333333333333334,10.0,36.0
HCT_mean,0.026333333333333334,22.225333709716796,45.0
Platelets_mean,0.0315,39.0,572.2399853515626
WBC_mean,0.035,2.1498334288597105,35.30033256530763
Na_mean,0.035666666666666666,127.2550001525879,150.48999969482415
K_mean,0.050333333333333334,3.031466636657715,5.87570001602173
Glucose_mean,0.06266666666666666,67.5,328.2399999999998
Mg_mean,0.07083333333333333,1.2999999523162842,3.200000047683716
pH_min,0.286,7.039999961853027,7.5
PaO2_min,0.29075,36.0,316.0
PaCO2_max,0.2901666666666667,26.0,87.0
FiO2_max,0.3700833333333333,0.3499999940395355,1.0
MAP_min_combined,0.018833333333333334,27.0,90.0
SysBP_min_combined,0.025833333333333333,51.0,139.0
Urine_sum_24h,0.02925,50.0,6937.500350952148
MechVent_documented_24h,0.0,0.0,1.0
