component,explained_variance_ratio,cumulative_explained_variance
1,0.11730912792454352,0.11730912792454352
2,0.10509673553183171,0.22240586345637525
3,0.07596323912714209,0.29836910258351734
4,0.06954960336519296,0.3679187059487103
5,0.06488761845118214,0.4328063243998924
6,0.058287668972594096,0.4910939933724865
7,0.04910280666263467,0.5401968000351212
8,0.04644960939789059,0.5866464094330117
9,0.043950297317076,0.6305967067500877
10,0.041521380244943756,0.6721180869950315
11,0.038313583310415414,0.710431670305447
12,0.03543828510997112,0.7458699554154181
13,0.03369754466784583,0.7795675000832639
14,0.031619729284685955,0.8111872293679498
