,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
Age,-0.11968548120808035,-0.23614893987104513,-0.303443268185845,0.2364968497632351,-0.11674963699914241,0.23926883924532355,-0.014293129712488133,0.10106871737361542,0.12156800706616112,-0.07869142555253891,0.1376551263925756,0.2824444311251841,-0.1958828473088451,0.3407935224228411
Gender,-0.041572532112124735,0.024966934214812893,0.31489704366246984,-0.04456311009767417,-0.22835170427208645,-0.1851371927585224,-0.39504666548879014,0.2807583643380493,0.15253590182660548,0.12534359227948513,-0.13557413891958728,0.11158591828659896,-0.06056862370371326,0.23968155737423458
InitialWeight,-0.0462404178711341,0.04465374006045559,0.451557637864826,-0.05234491593405143,-0.0960066177532103,-0.05955259943777579,-0.25906956814171694,0.11463826852007941,0.2762563576516214,-0.11193754560724897,0.021656834141166873,-0.22336820679245153,-0.11976829408693351,0.010440300428170263
GCS_min,0.29691202560708546,-0.3962332905298484,0.08539629886899835,0.08085357555850638,0.254902099510258,-0.07545620007600574,-0.02257698298848539,-0.06867194171507983,0.13408778782483594,-0.05440160157159539,-0.0628038197663153,-0.10554310880115235,0.06983825641129167,-0.14670708340791014
HR_mean,-0.06442903478763727,0.18578834002289193,0.13273686834296775,-0.3013731130251158,0.3161810401400698,-0.11595720219417287,0.1712405011895098,-0.28819582056829773,0.14379014184522312,0.04264691183167545,0.09908620130230318,0.25099456482493177,0.2243015488463271,-0.1389626558255096
Temp_mean,0.042123637463779735,0.2880132570626945,0.0947700746699365,-0.24020343884217368,0.03303409956105881,-0.005221876837063194,-0.08694441376293655,-0.34769004281044064,0.3416612537987896,-0.05734180863708726,0.11277049380381503,0.22813840316293807,0.16876828876549665,0.25262134587708107
BUN_mean,-0.25234394145896816,-0.40032730993372595,0.08508401704748575,-0.19647640894343632,-0.19640733632433283,0.040281715658174344,0.11472898618525793,-0.0679537281669339,0.1808088410245116,0.07554259612741279,0.05795031173575641,-0.15225331229059993,0.004501287450128703,-0.04434994788172776
Creatinine_mean,-0.23351594415168644,-0.3522727008209796,0.15501384208733393,-0.2703438838619222,-0.18881044376743056,-0.05564406463559947,0.08258953159979916,-0.1079098448695424,0.091859547491148,0.04314579231699123,-0.09487808710684582,-0.2066233527536866,0.09482122072517304,-0.015683910339289932
HCO3_min,0.23000579386929346,0.06692583156670195,0.14724789381759312,0.4239197418795073,-0.17307450006009603,0.28005378340207593,-0.16658994491833823,-0.23727697725581468,0.21394166119341695,-0.09117579811616905,0.10056518999547528,-0.0800808548640927,0.19068443111201966,0.003089071551837986
HCT_mean,0.13646461593086662,0.016155174176652794,0.234349196596233,-0.025730265728963957,0.10360018166883023,0.2621420103128559,-0.061424198413772925,0.4794620722271624,-0.01877437623520538,0.08451867492594092,-0.3341654244138208,0.3954032661340107,0.24959863414198968,-0.270755998304894
