method,bin,n,predicted_mean,observed_rate
uncalibrated,0,180,0.009650258053229992,0.0
uncalibrated,1,180,0.01425564941040073,0.005555555555555556
uncalibrated,2,180,0.019901331426247122,0.005555555555555556
uncalibrated,3,180,0.029129682185748202,0.022222222222222223
uncalibrated,4,180,0.04257889308452224,0.03888888888888889
uncalibrated,5,180,0.06788225383374825,0.06666666666666667
uncalibrated,6,180,0.10611857893326015,0.16666666666666666
uncalibrated,7,180,0.17588902263073125,0.17222222222222222
uncalibrated,8,180,0.30298286680477293,0.3111111111111111
uncalibrated,9,180,0.5927341668656009,0.6333333333333333
platt,0,180,0.008054064104721497,0.0
platt,1,180,0.01224622087194089,0.005555555555555556
platt,2,180,0.017538337487093603,0.005555555555555556
platt,3,180,0.02643218007614403,0.022222222222222223
platt,4,180,0.039790829047216175,0.03888888888888889
platt,5,180,0.06575721702113593,0.06666666666666667
platt,6,180,0.10629995620374519,0.16666666666666666
platt,7,180,0.1825311698204492,0.17222222222222222
platt,8,180,0.32375277216702464,0.3111111111111111
platt,9,180,0.6327482668818465,0.6333333333333333
isotonic,0,602,0.004438486204207814,0.0033222591362126247
isotonic,1,235,0.03365384615384615,0.02553191489361702
isotonic,2,142,0.03370753399461189,0.04225352112676056
isotonic,3,185,0.10792195463732743,0.12972972972972974
isotonic,4,173,0.1535767002792453,0.18497109826589594
isotonic,5,119,0.20894778269338926,0.16806722689075632
isotonic,6,233,0.37490910359747376,0.3648068669527897
isotonic,7,111,0.7328750112321246,0.7297297297297297
