strategy,fold,n,prevalence,auroc,auprc,brier,log_loss,threshold,sensitivity,specificity,precision,alerts_per_100,false_negatives,true_positives,false_positives,true_negatives
median_indicator,1,1680,0.14226190476190476,0.8299182053374137,0.47819873459844886,0.09620325791501601,0.31489887999030736,0.5,0.200836820083682,0.9791811242192922,0.6153846153846154,4.642857142857143,191,48,30,1411
median_indicator,2,1680,0.14226190476190476,0.8236609281676196,0.4258542286519641,0.0998867214697348,0.32265762058404246,0.5,0.1589958158995816,0.9798750867453158,0.5671641791044776,3.988095238095238,201,38,29,1412
median_indicator,3,1680,0.14226190476190476,0.8417765440666205,0.48287997051043746,0.09515235801519231,0.3085707475287658,0.5,0.20502092050209206,0.9805690492713394,0.6363636363636364,4.583333333333333,190,49,28,1413
median_indicator,4,1680,0.14226190476190476,0.8457138377289133,0.4874668142422691,0.09480321750680872,0.3083506951714283,0.5,0.18828451882845187,0.9861207494795281,0.6923076923076923,3.869047619047619,194,45,20,1421
median_indicator,5,1680,0.14226190476190476,0.841756218804352,0.48164879929312965,0.09524761015189534,0.30899207050566574,0.5,0.16736401673640167,0.9847328244274809,0.6451612903225806,3.6904761904761907,199,40,22,1419
median_only,1,1680,0.14226190476190476,0.8297352779769975,0.47699498516014044,0.09625091327337952,0.3148396783188076,0.5,0.18828451882845187,0.9784871616932685,0.5921052631578947,4.523809523809524,194,45,31,1410
median_only,2,1680,0.14226190476190476,0.823681253429888,0.4259565061043157,0.09987498947745317,0.3226240805667708,0.5,0.1589958158995816,0.9798750867453158,0.5671641791044776,3.988095238095238,201,38,29,1412
median_only,3,1680,0.14226190476190476,0.8417765440666205,0.48287997051043746,0.09515235801519231,0.3085707475287658,0.5,0.20502092050209206,0.9805690492713394,0.6363636363636364,4.583333333333333,190,49,28,1413
median_only,4,1680,0.14226190476190476,0.8457138377289133,0.4874668142422691,0.09480321750680872,0.3083506951714283,0.5,0.18828451882845187,0.9861207494795281,0.6923076923076923,3.869047619047619,194,45,20,1421
median_only,5,1680,0.14226190476190476,0.8428595901846405,0.4773887983583473,0.09550201513580713,0.3089177486634278,0.5,0.16736401673640167,0.9826509368494102,0.6153846153846154,3.869047619047619,199,40,25,1416
mean_indicator,1,1680,0.14226190476190476,0.8210941379040008,0.4703449149785205,0.09738308168485464,0.3200214301162965,0.5,0.1799163179916318,0.9847328244274809,0.6615384615384615,3.869047619047619,196,43,22,1419
mean_indicator,2,1680,0.14226190476190476,0.8240645298040935,0.41437294368836247,0.10001001847783768,0.32307629540190924,0.5,0.1589958158995816,0.9777931991672449,0.5428571428571428,4.166666666666667,201,38,32,1409
mean_indicator,3,1680,0.14226190476190476,0.8389745614824665,0.473282973453962,0.09601782615155376,0.31318393063344385,0.5,0.1589958158995816,0.9875086745315753,0.6785714285714286,3.3333333333333335,201,38,18,1423
mean_indicator,4,1680,0.14226190476190476,0.8450343932473671,0.48011516980553226,0.0953063836823661,0.31012125723427464,0.5,0.16317991631799164,0.9875086745315753,0.6842105263157895,3.392857142857143,200,39,18,1423
mean_indicator,5,1680,0.14226190476190476,0.8338729206530798,0.46911234967963095,0.0967133896685555,0.3143029331142594,0.5,0.16736401673640167,0.9826509368494102,0.6153846153846154,3.869047619047619,199,40,25,1416
native_missing,1,1680,0.14226190476190476,0.8219884494438138,0.44396892490814654,0.09876643190358707,0.3234552151521816,0.5,0.14225941422594143,0.9875086745315753,0.6538461538461539,3.0952380952380953,205,34,18,1423
native_missing,2,1680,0.14226190476190476,0.8236783498209925,0.4286962742190682,0.09977855931690506,0.3224811696428101,0.5,0.1589958158995816,0.9750173490631506,0.5135135135135135,4.404761904761905,201,38,36,1405
native_missing,3,1680,0.14226190476190476,0.8398688730222793,0.47336105942802875,0.09558460869910712,0.31111175734329305,0.5,0.17573221757322174,0.9854267869535045,0.6666666666666666,3.75,197,42,21,1420
native_missing,4,1680,0.14226190476190476,0.8454496093194231,0.4710650541566337,0.09570034677843846,0.3099747589076328,0.5,0.1589958158995816,0.9854267869535045,0.6440677966101694,3.511904761904762,201,38,21,1420
native_missing,5,1680,0.14226190476190476,0.8412742197276996,0.46476183193540527,0.09616374562517724,0.31115946421896434,0.5,0.17154811715481172,0.9847328244274809,0.6507936507936508,3.75,198,41,22,1419
winsor_median_indicator,1,1680,0.14226190476190476,0.8315616479722647,0.4806973889010802,0.0960346954302363,0.3138555129609298,0.5,0.20920502092050208,0.9777931991672449,0.6097560975609756,4.880952380952381,189,50,32,1409
