strategy,horizon_hours,split,n,prevalence,auroc,auprc,brier,log_loss,threshold,sensitivity,specificity,precision,alerts_per_100,false_negatives,true_positives,false_positives,true_negatives
median_indicator,24,validation,1800,0.14222222222222222,0.8484329460816061,0.5044387450267044,0.09287823157508558,0.30336366859216546,0.14556077499313783,0.79296875,0.7461139896373057,0.3411764705882353,33.05555555555556,53,203,392,1152
median_indicator,24,test,1800,0.14222222222222222,0.8563365244494818,0.5200652266054713,0.09212224829042573,0.2993025602399023,0.14556077499313783,0.77734375,0.7687823834196891,0.3579136690647482,30.88888888888889,57,199,357,1187
median_only,24,validation,1800,0.14222222222222222,0.8485316143134716,0.507530798644026,0.09262781615528608,0.3023482567561054,0.10276947501231491,0.875,0.663860103626943,0.30148048452220727,41.27777777777778,32,224,519,1025
median_only,24,test,1800,0.14222222222222222,0.8555851279145079,0.5236636518582753,0.0920183485052239,0.2988636540582135,0.10276947501231491,0.84765625,0.6787564766839378,0.30434782608695654,39.611111111111114,39,217,496,1048
mean_indicator,24,validation,1800,0.14222222222222222,0.8452502631152851,0.4952813450515127,0.09377157862304596,0.3065229183021794,0.113813738189142,0.84375,0.6819948186528497,0.3055162659123055,39.27777777777778,40,216,491,1053
mean_indicator,24,test,1800,0.14222222222222222,0.8554965795012954,0.5172504253005238,0.09226231761635717,0.3005085489696877,0.113813738189142,0.859375,0.697538860103627,0.32023289665211063,38.166666666666664,36,220,467,1077
native_missing,24,validation,1800,0.14222222222222222,0.845799263277202,0.5137099756530543,0.09272281896596639,0.30341448762787665,0.11768971762136164,0.83984375,0.6988341968911918,0.3161764705882353,37.77777777777778,41,215,465,1079
native_missing,24,test,1800,0.14222222222222222,0.8537913900582901,0.5071138071115816,0.09305411682631456,0.3008622480012035,0.11768971762136164,0.828125,0.7234455958549223,0.3317683881064163,35.5,44,212,427,1117
winsor_median_indicator,24,validation,1800,0.14222222222222222,0.8485392041774612,0.5138446231733172,0.09271936956847372,0.30308880482738143,0.1103667647463424,0.86328125,0.6735751295336787,0.30482758620689654,40.27777777777778,35,221,504,1040
winsor_median_indicator,24,test,1800,0.14222222222222222,0.8526149611398963,0.5096182025509468,0.09306353133663786,0.30229543525631847,0.1103667647463424,0.83203125,0.6917098445595855,0.30914368650217705,38.27777777777778,43,213,476,1068
physiologic_median_indicator,24,validation,1800,0.14222222222222222,0.8474361439443006,0.5084463118008641,0.09319130168528064,0.30535457145487965,0.10676024021787849,0.87890625,0.655440414507772,0.29722589167767505,42.05555555555556,31,225,532,1012
physiologic_median_indicator,24,test,1800,0.14222222222222222,0.8544592980893781,0.5101210984956159,0.09288268741963848,0.30257304028475374,0.10676024021787849,0.85546875,0.6645077720207254,0.2971506105834464,40.94444444444444,37,219,518,1026
physiologic_winsor_indicator,24,validation,1800,0.14222222222222222,0.8463963325777202,0.4920398218848426,0.09376000348864477,0.30614471145095806,0.11989041413864397,0.8515625,0.6936528497409327,0.3154848046309696,38.388888888888886,38,218,473,1071
physiologic_winsor_indicator,24,test,1800,0.14222222222222222,0.8552410540803108,0.51848108666078,0.09232577325894817,0.3009187558162855,0.11989041413864397,0.8359375,0.7072538860103627,0.3213213213213213,37.0,42,214,452,1092
