model,parameter,split,readout,smearing_factor,n,mae_days,rmse_days,median_ae_days,r2,spearman,true_sum_bed_days,predicted_sum_bed_days,sum_bias_percent
ridge,1.0,validation,direct,1.0,1774,6.563900618077928,11.687635808391931,3.7823939116393,0.09002141665415953,0.46975202269225885,20492.0,15667.652030217418,-23.542592083655
ridge,1.0,validation,smeared,1.2710241292617928,1774,7.024423969351958,11.400043092655782,4.620883302136884,0.13425335647596626,0.46975202269225885,20492.0,20394.76058459427,-0.47452379175155784
ridge,1.0,test,direct,1.0,1775,6.810575971399051,12.548256400615475,3.824916773475934,0.06935703703721607,0.46251511200732365,20797.0,15831.59919241434,-23.875562858035583
ridge,1.0,test,smeared,1.2710241292617928,1775,7.28518824531736,12.300144262455056,4.8057890172099125,0.10579572927708392,0.46251511200732365,20797.0,20603.41240779982,-0.9308438342077205
ridge,10.0,validation,direct,1.0,1774,6.554025037436277,11.680490277818372,3.7333627826023355,0.09113375318292805,0.47195684037898294,20492.0,15645.657281965305,-23.649925424725236
ridge,10.0,validation,smeared,1.2715952454651764,1774,7.013095743822789,11.380143141495111,4.640149638140349,0.1372732185734068,0.47195684037898294,20492.0,20376.753377379922,-0.5623981193640332
ridge,10.0,test,direct,1.0,1775,6.808352480377339,12.545654876309916,3.7843401461525357,0.06974288176950871,0.4645999392773066,20797.0,15824.55104428544,-23.90945307359023
ridge,10.0,test,smeared,1.2715952454651764,1775,7.28513527260183,12.288070801121428,4.81917964780812,0.10755031716954278,0.4645999392773066,20797.0,20604.505430235044,-0.9255881606239188
ridge,100.0,validation,direct,1.0,1774,6.527164228635376,11.667866033723511,3.7017954930474968,0.09309729215725715,0.4780624334754711,20492.0,15579.84987362647,-23.971062494502878
ridge,100.0,validation,smeared,1.2736659290714683,1774,6.972514052347194,11.334012045798605,4.705035041271165,0.14425342376041306,0.4780624334754711,20492.0,20329.00732225924,-0.7953966315672456
ridge,100.0,test,direct,1.0,1775,6.785930619624349,12.5285025024129,3.7831177077868254,0.07228483123267415,0.4703554644006248,20797.0,15784.204615503397,-24.103454269830277
ridge,100.0,test,smeared,1.2736659290714683,1775,7.2592066599507366,12.239896079723545,4.831617090811633,0.114534202377225,0.4703554644006248,20797.0,20589.560660361145,-0.9974483802416455
ridge,1000.0,validation,direct,1.0,1774,6.5098471503894135,11.685078950249695,3.7484193926417486,0.09041951797905323,0.48077055230252247,20492.0,15450.161024469964,-24.603938002781746
ridge,1000.0,validation,smeared,1.2779216676253429,1774,6.929580443362533,11.301668313753694,4.7005023676396895,0.14913052210983346,0.48077055230252247,20492.0,20237.128579838092,-1.243760590288443
ridge,1000.0,test,direct,1.0,1775,6.758125587556926,12.53197539513317,3.7025263524114163,0.0717704358684137,0.47654243835299825,20797.0,15684.571720428605,-24.582527670199525
ridge,1000.0,test,smeared,1.2779216676253429,1775,7.224350163233173,12.194929745677571,4.950181507003013,0.12102821397103491,0.47654243835299825,20797.0,20536.965008994397,-1.2503485647237724
lasso,0.001,validation,direct,1.0,1774,6.513569387671508,11.678204834288463,3.7801086017453938,0.09148938196591305,0.48015339376011934,20492.0,15503.787130966248,-24.342245115331604
lasso,0.001,validation,smeared,1.2764667094382578,1774,6.941159471004479,11.317908959092117,4.696473364214852,0.14668334389857474,0.48015339376011934,20492.0,20280.520085439162,-1.0320120757409605
lasso,0.001,test,direct,1.0,1775,6.767898964854176,12.520538625488731,3.7611129250310196,0.07346388056056685,0.4760431700850286,20797.0,15744.217866871199,-24.295725985136325
lasso,0.001,test,smeared,1.2764667094382578,1775,7.239723182482703,12.205996698834937,4.907789702307442,0.11943214844571015,0.4760431700850286,20797.0,20587.698382457012,-1.0064029309178608
lasso,0.01,validation,direct,1.0,1774,6.52567710079627,11.740559865298836,3.6961629868340182,0.08176161153285166,0.4758924313505601,20492.0,15193.062676731714,-25.858565895316644
lasso,0.01,validation,smeared,1.2883564905999263,1774,6.893695586190393,11.27811366125651,4.813935194090271,0.15267354759392404,0.4758924313505601,20492.0,20085.625325983063,-1.9830893715446867
lasso,0.01,test,direct,1.0,1775,6.776924041766642,12.575174030321993,3.718433159753504,0.0653600560446762,0.47923320859726615,20797.0,15454.094126368414,-25.690752866430667
lasso,0.01,test,smeared,1.2883564905999263,1775,7.206800195161391,12.156563887125072,5.010206476916197,0.12655009258287153,0.47923320859726615,20797.0,20422.21524486381,-1.8021097039774405
lasso,0.05,validation,direct,1.0,1774,6.769743287993964,12.103097465683431,3.869601615566914,0.024177355791556,0.43172668003837184,20492.0,14658.303429736865,-28.4681659684908
lasso,0.05,validation,smeared,1.3198725283683361,1774,7.161376083299754,11.539084908676843,5.25629661083377,0.11300623177899316,0.43172668003837184,20492.0,19914.545874722477,-2.8179490790431556
lasso,0.05,test,direct,1.0,1775,6.973400134941063,12.847725620903747,3.871906739896474,0.024406639977734956,0.44369771680582587,20797.0,14801.287075072689,-28.829701038261824
