variable,FN_median,TP_median,TN_median,FN_n,TP_n,FN_vs_TP_mannwhitney_p,FN_closer_to,FN_vs_TP_p_holm
Age,63.0,73.0,62.0,44,297,0.007343016140225109,TN,0.14686032280450217
SAPS-I,13.0,18.0,14.0,40,284,2.490171848404133e-07,TN,6.972481175531573e-06
SOFA,5.0,8.0,6.0,43,288,9.721477395030081e-05,TN,0.00243036934875752
Length_of_stay,9.0,9.0,8.0,44,297,0.9020466247796833,TP,1.0
GCS_first,14.0,10.0,11.0,41,291,0.06646130071246543,TN,0.9969195106869815
GCS_last,15.0,8.0,15.0,41,291,4.871852330904136e-08,TN,1.4128371759621995e-06
GCS_min,8.0,6.0,9.0,41,291,0.0007837782572273979,TN,0.018810678173457548
GCS_delta,0.0,0.0,1.0,41,291,0.005188924008961204,TP,0.10896740418818529
HR_last,81.0,86.0,84.0,41,291,0.16968775225754906,TN,1.0
HR_max,111.0,117.0,106.0,41,291,0.018167085696478805,TN,0.3451746282330973
HR_delta,-6.0,-4.0,-2.0,41,291,0.6105525674302266,TP,1.0
SysABP_min,84.5,82.0,87.0,32,231,0.1190214989897089,TP,1.0
NISysABP_min,88.0,87.0,95.0,33,266,0.6897029185741423,TP,1.0
NISysABP_delta,-4.0,-7.0,0.0,33,266,0.5686574704066345,TP,1.0
Temp_max,37.7,37.8,37.8,41,291,0.41256745005205153,TP,1.0
RespRate_max,29.0,31.0,27.0,12,42,0.25591117419706555,TP,1.0
Lactate_last,1.5,1.9,1.5,20,229,0.03707003879461336,TN,0.5931206207138138
Lactate_max,1.7000000000000002,2.7,2.1,20,229,0.02942157920627497,TN,0.5001668465066744
Creatinine_last,0.9,1.1,0.8,44,296,0.08764595825472042,TN,1.0
BUN_last,18.0,28.0,15.0,44,296,0.003938993424177743,TN,0.08665785533191035
Platelets_min,165.5,156.0,163.0,44,296,0.22226538690617859,TN,1.0
Urine_sum,3172.0,2369.0,4648.0,41,282,0.0225431632376275,TP,0.405776938277295
MechVent_any,1.0,1.0,1.0,44,297,0.0011198744412217836,TP,0.025757112148101023
measured_Lactate,0.0,1.0,0.0,44,297,1.0494099878041755e-05,TN,0.0002833406967071274
Glucose_last,120.5,128.0,117.0,42,295,0.2087692480209361,TN,1.0
HCO3_min,22.0,20.0,23.0,44,295,2.351635626686657e-05,TN,0.0006114252629385308
pH_min,7.29,7.3149999999999995,7.33,31,268,0.980733771277648,TP,1.0
PaO2_min,89.5,78.0,85.0,30,268,0.4071065820715545,TN,1.0
FiO2_max,1.0,1.0,1.0,24,246,0.6270039137034316,TP,1.0
