model,mean_predicted,observed_rate
logreg,0.007756574744199623,0.016666666666666666
logreg,0.014546584162017578,0.0125
logreg,0.02186609621010414,0.016666666666666666
logreg,0.03254008575271059,0.016666666666666666
logreg,0.04954424767559136,0.05
logreg,0.07502503245469568,0.10416666666666667
logreg,0.10979698782081083,0.12083333333333333
logreg,0.17084305454861062,0.19166666666666668
logreg,0.2801673028276267,0.3375
logreg,0.573422388278716,0.5541666666666667
tree,0.025119236883942176,0.028116213683223992
tree,0.07456140350877209,0.1288888888888889
tree,0.09026963657678795,0.13494809688581316
tree,0.11393980325943302,0.216
tree,0.19396499456791047,0.17647058823529413
tree,0.30221694150061973,0.3378995433789954
tree,0.5972783732506767,0.4409090909090909
rf,0.005246402302646253,0.0125
rf,0.016354264116444844,0.008333333333333333
rf,0.030458153645683887,0.025
rf,0.05117354238430073,0.029166666666666667
rf,0.07584904429080729,0.05
rf,0.11003075145114324,0.1
rf,0.15538365679233568,0.11666666666666667
rf,0.2109292475893023,0.24583333333333332
rf,0.28552745900291693,0.26666666666666666
rf,0.44225599564684454,0.5666666666666667
xgb,0.004659504164010286,0.0
xgb,0.008544172915086771,0.020833333333333332
xgb,0.013387494328587006,0.008333333333333333
xgb,0.020840693761905036,0.041666666666666664
xgb,0.03326726028850923,0.025
xgb,0.05331075742530326,0.1125
xgb,0.08784189118693272,0.14166666666666666
xgb,0.14889229067290824,0.15416666666666667
xgb,0.2828354088589549,0.3458333333333333
xgb,0.5965924471616745,0.5708333333333333
