model,variable,n_cols,auc_drop
logreg,GCS,7,0.10772206404143385
logreg,BUN,7,0.024945205038294893
logreg,Urine,8,0.018354180992920705
logreg,Age,1,0.018134432831890757
logreg,RespRate,7,0.011324134220661178
logreg,Bilirubin,7,0.00888938142787051
logreg,Lactate,7,0.00885670336082082
logreg,MechVent,8,0.007016312512195107
logreg,Temp,7,0.005530644449369793
logreg,HR,7,0.00452188672740043
logreg,Glucose,7,0.004238203217795
logreg,Na,7,0.004053974694862572
logreg,ICUType,4,0.003752768163795698
logreg,Creatinine,7,0.003624423871470106
logreg,HCT,7,0.003472399820412697
logreg,HCO3,7,0.0028567260933891614
logreg,Weight,8,0.0027354857286830216
logreg,FiO2,7,0.002285096717606535
logreg,NIDiasABP,7,0.0018659649880558387
logreg,TroponinT,7,0.0018157638995448533
logreg,PaO2,7,0.0017518285509692995
logreg,pH,7,0.0017191504839194998
logreg,NISysABP,7,0.0015396579127334349
logreg,AST,7,0.0012886524701777684
logreg,K,7,0.0012763389956370978
logreg,WBC,7,0.0012161924084587532
logreg,PaCO2,7,0.0010599060008297245
logreg,ALP,7,0.0006137793463249311
logreg,Mg,7,0.0006066754187054416
logreg,SaO2,7,0.0005962563248635236
logreg,Albumin,7,0.000490644600920224
logreg,Gender,1,0.00048827662504709785
logreg,TroponinI,7,6.440894375014938e-05
logreg,Cholesterol,7,5.067468368572895e-05
logreg,DiasABP,7,-9.471903492726716e-06
logreg,Height,1,-2.2732568382477503e-05
logreg,MAP,7,-0.00023916556318992477
logreg,SysABP,7,-0.0006767675045512936
logreg,ALT,7,-0.0008581544564359259
logreg,Platelets,7,-0.0010613267863537335
logreg,NIMAP,7,-0.0011148430410872212
rf,GCS,7,0.0754782837668625
rf,Urine,8,0.019510226814201115
rf,BUN,7,0.016748693350913297
rf,Age,1,0.005390933872853017
rf,Bilirubin,7,0.003159827005154714
rf,Creatinine,7,0.0030475849487666315
rf,Weight,8,0.002974177696698388
rf,Na,7,0.002665393642837355
rf,PaO2,7,0.002605720650833495
rf,Lactate,7,0.0024518022190777033
rf,TroponinT,7,0.002274204028590058
rf,ALP,7,0.002091396291181639
rf,HR,7,0.0020880811249590994
rf,Platelets,7,0.0020208306101612283
rf,Temp,7,0.0019388986449495604
rf,WBC,7,0.0013947377892957376
rf,HCO3,7,0.001318962561354294
rf,HCT,7,0.0011427851563906948
rf,pH,7,0.0010262807434308445
rf,NISysABP,7,0.001003548175048552
rf,ICUType,4,0.0009784476307929484
rf,PaCO2,7,0.0008458409818955145
rf,Albumin,7,0.0006871865983932857
rf,Glucose,7,0.00042576206199559
rf,ALT,7,0.00035993233272157976
rf,AST,7,0.00031636157665530334
rf,MAP,7,0.00018849087950423282
rf,DiasABP,7,9.898139149851677e-05
rf,K,7,9.045667835509234e-05
rf,FiO2,7,6.44089437502234e-05
rf,SysABP,7,3.220447187520422e-05
rf,RespRate,7,3.173087670053457e-05
rf,Height,1,2.415335390648643e-05
rf,Gender,1,-1.6102235937472582e-05
rf,SaO2,7,-6.4882538924671e-05
rf,Cholesterol,7,-0.00016054876420064831
rf,Mg,7,-0.00026379251227071077
rf,MechVent,8,-0.00043476037031342507
rf,NIDiasABP,7,-0.0004527569869495022
rf,TroponinI,7,-0.0006369855098819303
rf,NIMAP,7,-0.0007913775368124284
