,variable,coef_per_SD,odds_ratio_per_SD
GCS_last,GCS,-0.4338997200927446,0.6479772313240714
Age,Age,0.33034944290389434,1.391454277341506
GCS_max,GCS,-0.2725861624790974,0.7614078215632786
GCS_mean,GCS,-0.2278673245963601,0.796229892950278
HR_last,HR,0.20553489219524038,1.228181834174592
BUN_last,BUN,0.19995198110043308,1.2213441091519366
GCS_count,GCS,0.19877598200526983,1.2199086537972232
measured_RespRate,RespRate,-0.1972585193112493,0.8209783671143674
BUN_min,BUN,0.18206813414087705,1.1996959313468767
Bilirubin_last,Bilirubin,0.1760689614266662,1.1925202937158963
HCT_count,HCT,-0.17377090814028043,0.8404894248898013
Urine_count,Urine,-0.17204104421558855,0.8419446155029963
pH_mean,pH,0.1601017877187913,1.173630326065772
HCO3_first,HCO3,0.15597020430537,1.1687913776200733
GCS_first,GCS,0.154481356859772,1.167052520330889
Temp_mean,Temp,-0.15010261219286655,0.860619661823334
GCS_min,GCS,0.1478473536842845,1.159335914499478
Lactate_last,Lactate,0.13970309006768367,1.1499323218379311
Na_last,Na,0.13273773867014357,1.141950469606421
pH_min,pH,-0.13049863199354286,0.8776576935893092
ICUType_CSRU,ICUType,-0.13013074120187412,0.8779806351729931
Na_first,Na,-0.12927021648791623,0.8787364843747526
HCO3_last,HCO3,-0.12768642535789648,0.8801293221152107
Urine_last,Urine,-0.12519539271193708,0.8823244859665471
Temp_last,Temp,-0.11926385257200545,0.8875735812913362
MechVent_any,MechVent,-0.11882202153984757,0.8879658254893227
measured_MechVent,MechVent,-0.11882202153984743,0.8879658254893228
SysABP_min,SysABP,-0.11413050122619721,0.8921415227225817
ICUType_MICU,ICUType,0.11119176468875355,1.1176092042876695
Urine_max,Urine,-0.10973565830247999,0.8960709729141988
NIMAP_first,NIMAP,0.10963678066075391,1.1158726903011176
measured_TroponinT,TroponinT,0.10698840225049662,1.1129213470214774
Glucose_last,Glucose,0.10687664872231793,1.1127969810836578
MAP_last,MAP,-0.10489103586022745,0.9004226310184388
RespRate_count,RespRate,-0.10005262482392345,0.9047898023790498
Creatinine_max,Creatinine,-0.09888348552959342,0.9058482463037475
Urine_min,Urine,-0.0988120200875786,0.9059129854623467
AST_min,AST,0.09873040945953632,1.103768693846121
PaO2_mean,PaO2,-0.09866860005947303,0.9060429208456283
measured_Urine,Urine,-0.09866546160624629,0.906045764423419
Creatinine_first,Creatinine,-0.09791203205680564,0.9067286633012738
pH_max,pH,0.08954001197764239,1.093671092380198
Na_count,Na,0.08949677681904916,1.0936238083592436
HCT_last,HCT,0.08933085380266147,1.0934423660513108
TroponinI_last,TroponinI,0.08908703923563456,1.0931758013717596
DiasABP_min,DiasABP,-0.08733680791232758,0.9163684035221845
MAP_mean,MAP,0.08653045379703697,1.0903845735626503
PaCO2_min,PaCO2,0.08507096628971036,1.0887943316507378
HCT_max,HCT,-0.08185562037531172,0.9214049811986195
pH_last,pH,-0.08094493692952541,0.9222444716588757
Temp_count,Temp,-0.0809341673473891,0.922254403899946
Platelets_last,Platelets,-0.0792622425827995,0.9237976335995676
FiO2_count,FiO2,0.07907543402942722,1.082285960182099
K_max,K,-0.07693574602771303,0.9259493476188326
Urine_mean,Urine,-0.07665266712352714,0.9262115014488471
PaCO2_last,PaCO2,-0.0754922538689361,0.9272869133921441
Bilirubin_min,Bilirubin,0.07470017545054933,1.0775610231979598
RespRate_mean,RespRate,0.0723726395869331,1.075055877810051
measured_TroponinI,TroponinI,0.07213631566301389,1.074801846404606
WBC_last,WBC,0.07107091216602722,1.0736573585378242
Creatinine_mean,Creatinine,-0.06966183288066871,0.9327091781569985
Mg_max,Mg,0.06827561542408891,1.0706603583254775
FiO2_mean,FiO2,0.06756620124182781,1.0699010860340055
Albumin_max,Albumin,-0.06699287357162831,0.9352018659621399
Glucose_mean,Glucose,0.06687130091934902,1.0691578696848478
HR_max,HR,0.0657783281257982,1.067989947591074
measured_PaCO2,PaCO2,0.0654485980424754,1.0676378572272494
ICUType_CCU,ICUType,-0.06431887846104464,0.9377059376247613
