model,feature,value,partial_dependence
rf,GCS_last,3.0,0.19948424953909588
rf,GCS_last,3.5,0.19948424953909588
rf,GCS_last,4.0,0.19930077512067665
rf,GCS_last,4.5,0.19926740244300709
rf,GCS_last,5.0,0.19811767250858964
rf,GCS_last,5.5,0.1975605846687674
rf,GCS_last,6.0,0.1963505042019606
rf,GCS_last,6.5,0.19633658249866387
rf,GCS_last,7.0,0.1865027486405151
rf,GCS_last,7.5,0.18648184225523376
rf,GCS_last,8.0,0.1801869022928054
rf,GCS_last,8.5,0.18014124948207444
rf,GCS_last,9.0,0.15732018495536484
rf,GCS_last,9.5,0.15722308768631446
rf,GCS_last,10.0,0.1488097341883995
rf,GCS_last,10.5,0.14879614043839945
rf,GCS_last,11.0,0.13897796049321418
rf,GCS_last,11.5,0.13896825997238085
rf,GCS_last,12.0,0.138130455948024
rf,GCS_last,12.5,0.13801720508175383
rf,GCS_last,13.0,0.13666208090290632
rf,GCS_last,13.5,0.1366175321964045
rf,GCS_last,14.0,0.12907090537122176
rf,GCS_last,14.5,0.12905866657702986
rf,GCS_last,15.0,0.12725124292554657
xgb,GCS_last,3.0,0.23654408752918243
xgb,GCS_last,3.5,0.23654408752918243
xgb,GCS_last,4.0,0.24075663089752197
xgb,GCS_last,4.5,0.24075663089752197
xgb,GCS_last,5.0,0.24071571230888367
xgb,GCS_last,5.5,0.24071571230888367
xgb,GCS_last,6.0,0.2184717059135437
xgb,GCS_last,6.5,0.2184717059135437
xgb,GCS_last,7.0,0.19023379683494568
xgb,GCS_last,7.5,0.19023379683494568
xgb,GCS_last,8.0,0.1868993043899536
xgb,GCS_last,8.5,0.1868993043899536
xgb,GCS_last,9.0,0.15088066458702087
xgb,GCS_last,9.5,0.15088066458702087
xgb,GCS_last,10.0,0.14467234909534454
xgb,GCS_last,10.5,0.14467234909534454
xgb,GCS_last,11.0,0.11690119653940201
xgb,GCS_last,11.5,0.11690119653940201
xgb,GCS_last,12.0,0.11650756746530533
xgb,GCS_last,12.5,0.11650756746530533
xgb,GCS_last,13.0,0.11627277731895447
xgb,GCS_last,13.5,0.11627277731895447
xgb,GCS_last,14.0,0.08759673684835434
xgb,GCS_last,14.5,0.08759673684835434
