variable,level,n,prevalence,auc_logreg,mean_pred_logreg,auc_rf,mean_pred_rf
ICUType,CCU,341,0.12609970674486803,0.7681442172623693,0.1056300535847358,0.8041204932105509,0.12037893818250554
ICUType,CSRU,519,0.04046242774566474,0.826926754637598,0.044800719292756065,0.880665519219736,0.05992227292141111
ICUType,MICU,860,0.1930232558139535,0.8237127183083921,0.19024904015363378,0.7918995868199021,0.1856576444801087
ICUType,SICU,680,0.16323529411764706,0.869044791716145,0.14358295434788176,0.8571699995250084,0.14728763575594397
age_band,<45,369,0.10840108401084012,0.8883738601823709,0.0899232845296861,0.9194528875379939,0.12901082804191638
age_band,45-64,776,0.11082474226804123,0.8392821031344794,0.10516793388455778,0.838169868554095,0.12404554368533498
age_band,65-79,800,0.1425,0.8343179377013964,0.1506162419980552,0.8247787836939287,0.1415649344368379
age_band,80+,455,0.22197802197802197,0.8169715276612408,0.1873340720652852,0.8137551043239918,0.16451375634423018
Gender,F,1049,0.16110581506196378,0.8365182894029048,0.14316655291014105,0.8450511027434104,0.14927366438009346
Gender,M,1348,0.12759643916913946,0.8545226230026894,0.1258292527138789,0.8378569451036229,0.1298682804405389
