model,target_sens_on_val,threshold,test_sensitivity,alerts_per_100,ppv,missed_deaths,false_alarms
logreg,0.7,0.2039313429035773,0.6539589442815249,21.25,0.4372549019607843,118,287
logreg,0.8,0.1430068522610401,0.7448680351906158,28.458333333333336,0.3718887262079063,87,429
logreg,0.9,0.08060174699974117,0.8709677419354839,42.791666666666664,0.2891918208373905,44,730
logreg,0.95,0.06143975901303271,0.9208211143695014,49.958333333333336,0.2618849040867389,27,885
tree,0.7,0.11510791366906475,0.6920821114369502,32.0,0.3072916666666667,105,532
tree,0.8,0.09026963657678781,0.8269794721407625,46.166666666666664,0.2545126353790614,59,826
tree,0.9,0.07456140350877193,0.9120234604105572,55.541666666666664,0.23330832708177043,30,1022
tree,0.95,0.025119236883942766,1.0,100.0,0.14208333333333334,0,2059
rf,0.7,0.21763470108323058,0.6510263929618768,23.875,0.387434554973822,119,351
rf,0.8,0.1737680398913951,0.7771260997067448,31.624999999999996,0.34914361001317523,76,494
rf,0.9,0.11041006766925884,0.8856304985337243,44.958333333333336,0.2798887859128823,39,777
rf,0.95,0.07553829687469389,0.9384164222873901,54.708333333333336,0.24371667936024372,21,993
xgb,0.7,0.19318436086177826,0.6539589442815249,20.458333333333336,0.45417515274949083,118,268
xgb,0.8,0.11927901953458786,0.7419354838709677,28.375,0.37151248164464024,88,428
xgb,0.9,0.06591640412807465,0.8592375366568915,40.708333333333336,0.2998976458546571,48,684
xgb,0.95,0.04794216901063919,0.9266862170087976,46.75,0.2816399286987522,25,806
