model,feature,variable,coef_per_SD_log1p,pct_change_LOS_remaining_plus1_per_SD,approx_pct_change_LOS_remaining_at_train_median_per_SD,note
lasso,measured_RespRate,RespRate,-0.17958876015366262,-16.438622155595205,-18.493449925044604,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,MechVent_any,MechVent,-0.10678822563879523,-10.128402215913802,-11.394452492903028,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,Lactate_last,Lactate,-0.08720194268297086,-8.35080019087816,-9.394650214737931,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,GCS_last,GCS,-0.0736055606653617,-7.096192926171707,-7.9832170419431705,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,GCS_first,GCS,0.06389255614513,6.597785983789661,7.422509231763369,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,PaO2_count,PaO2,0.06359523433140454,6.566096847890979,7.386858953877351,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,BUN_last,BUN,0.060288067100292914,6.214247078154633,6.991027962923963,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,ICUType_SICU,ICUType,0.06016434764308649,6.201107122009408,6.976245512260585,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,Albumin_last,Albumin,-0.05664569647940432,-5.50711983342519,-6.195509812603339,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,HCT_mean,HCT,-0.051675108855320555,-5.036265450660704,-5.665798631993292,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,PaO2_first,PaO2,-0.04109157574869344,-4.025876309889664,-4.529110848625873,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,Urine_last,Urine,-0.034456707015609794,-3.3869834560724454,-3.8103563880815012,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,GCS_count,GCS,0.03255311916684007,3.3088768501147614,3.7224864563791065,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,Temp_count,Temp,0.031166255398336184,3.165700817621131,3.561413419823772,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,HR_max,HR,0.028605540183800515,2.90186079167587,3.2645933906353535,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,Urine_count,Urine,0.028029016019845563,2.8425524803935787,3.197871540442776,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,measured_Cholesterol,Cholesterol,-0.027756384680404648,-2.7374715638802227,-3.0796555093652507,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,measured_NIMAP,NIMAP,-0.027003497215596133,-2.664216252382534,-2.997243283930351,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,Urine_mean,Urine,-0.02653687527694713,-2.6187866418681427,-2.9461349721016603,二元/one-hot 列同样按每 1 SD 计，不是 0→1
lasso,measured_TroponinT,TroponinT,-0.026208321386830536,-2.586786408782382,-2.9101347098801797,二元/one-hot 列同样按每 1 SD 计，不是 0→1
