model,variable,n_cols,mae_rise_days
lasso,RespRate,7,0.3498084512846888
lasso,GCS,7,0.14787631382153954
lasso,MechVent,8,0.12236304987172335
lasso,ICUType,4,0.09990743067858461
lasso,PaO2,7,0.05621587567688913
lasso,HR,7,0.048067426292250616
lasso,Lactate,7,0.04714965347851319
lasso,Urine,8,0.042392675723296414
lasso,BUN,7,0.027955693196899094
lasso,Albumin,7,0.027357748411716305
lasso,Cholesterol,7,0.021613773195083397
lasso,HCT,7,0.020489885624473736
lasso,Na,7,0.018929917781509726
lasso,pH,7,0.017075298103315244
lasso,Temp,7,0.012688283152295496
lasso,NIMAP,7,0.009016833634368856
lasso,Weight,8,0.006953746651889266
lasso,FiO2,7,0.0053297020291127595
lasso,Glucose,7,0.004691310001350739
lasso,Mg,7,0.0034436227340834216
lasso,DiasABP,7,0.00276279419040056
lasso,HCO3,7,0.002435179161753768
lasso,SysABP,7,0.0018767346456932306
lasso,TroponinT,7,0.0008869292585931277
lasso,Creatinine,7,0.0004103792668823658
lasso,NIDiasABP,7,0.0001785723148938582
lasso,Height,1,8.797285124106935e-05
lasso,Age,1,0.0
lasso,Gender,1,0.0
lasso,K,7,0.0
lasso,NISysABP,7,0.0
lasso,SaO2,7,0.0
lasso,PaCO2,7,-7.593646495340778e-05
lasso,AST,7,-8.430360939530128e-05
lasso,Bilirubin,7,-0.0002294510056313944
lasso,MAP,7,-0.00027512590641324647
lasso,Platelets,7,-0.0006573243394824383
lasso,TroponinI,7,-0.0015331845134133697
lasso,WBC,7,-0.0024290203009427933
lasso,ALT,7,-0.004415163334724248
lasso,ALP,7,-0.005067589815171599
rf_reg,GCS,7,0.43371523466920553
rf_reg,RespRate,7,0.1452631149759617
rf_reg,Urine,8,0.06815782109687933
rf_reg,BUN,7,0.04971409358333231
rf_reg,HCT,7,0.04287961007629626
rf_reg,HR,7,0.04023190940858671
rf_reg,ICUType,4,0.03694069292965748
rf_reg,MAP,7,0.03075738856048608
rf_reg,Age,1,0.028144400748726223
rf_reg,Albumin,7,0.02219761416131642
rf_reg,Na,7,0.02051600281310891
rf_reg,SysABP,7,0.01464473643335129
rf_reg,PaO2,7,0.01424897923308599
rf_reg,pH,7,0.009829095636147459
rf_reg,Temp,7,0.009738215422181304
rf_reg,FiO2,7,0.007919639653252966
rf_reg,Platelets,7,0.007276582449577518
rf_reg,MechVent,8,0.0062465508623672505
rf_reg,Creatinine,7,0.006204934147983288
rf_reg,DiasABP,7,0.006009063220727029
rf_reg,NIMAP,7,0.005045889398501184
rf_reg,PaCO2,7,0.004806296838546942
rf_reg,HCO3,7,0.004480058816601702
rf_reg,Bilirubin,7,0.004355484166654951
rf_reg,K,7,0.004308371594814749
rf_reg,Glucose,7,0.0033016049760113595
rf_reg,Weight,8,0.0031160056893941857
rf_reg,Lactate,7,0.0025076777298824737
rf_reg,WBC,7,0.0022486397094706825
rf_reg,NISysABP,7,0.001985225982980232
rf_reg,TroponinT,7,0.0016383700711889067
rf_reg,Cholesterol,7,0.0016264455651849492
rf_reg,Mg,7,0.0008151144964907431
rf_reg,Gender,1,-6.586166013219004e-05
rf_reg,Height,1,-0.00021806265170217406
rf_reg,TroponinI,7,-0.00042868259742068204
rf_reg,NIDiasABP,7,-0.0012570491591095134
rf_reg,ALP,7,-0.0018656663729149277
rf_reg,AST,7,-0.001937348961539816
rf_reg,SaO2,7,-0.0030522990088135415
rf_reg,ALT,7,-0.006268418684398054
